"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 21 15:30:46 GMT 2024","Tue May 21 15:30:48 GMT 2024","1945","chromium","ui/homePageTests.spec.ts","","","","Validate user able to submit article with title",""
"passed","Tue May 21 15:31:03 GMT 2024","Tue May 21 15:31:05 GMT 2024","1146","chromium","ui/signinPageTests.spec.ts","","","","Validate error messages while login with Only email",""
"passed","Tue May 21 15:30:56 GMT 2024","Tue May 21 15:30:59 GMT 2024","2948","chromium","ui/promotionPageTests.spec.ts","","","","Verify Blog link is present on promotion page",""
"passed","Tue May 21 15:31:02 GMT 2024","Tue May 21 15:31:03 GMT 2024","1108","chromium","ui/signinPageTests.spec.ts","","","","Validate user able to sign in successfully with valid credentials & self heal",""
"passed","Tue May 21 15:31:08 GMT 2024","Tue May 21 15:31:09 GMT 2024","1110","chromium","ui/signUpTests.spec.ts","","","","Validate successful signUp",""
"passed","Tue May 21 15:30:54 GMT 2024","Tue May 21 15:30:56 GMT 2024","2837","chromium","ui/promotionPageTests.spec.ts","","","","Verify Home Link is present on promotion page",""
"passed","Tue May 21 15:30:50 GMT 2024","Tue May 21 15:30:54 GMT 2024","3635","chromium","ui/landingPageTests.spec.ts","","","","Validate promotion page URL is opening",""
"passed","Tue May 21 15:30:59 GMT 2024","Tue May 21 15:31:02 GMT 2024","2918","chromium","ui/promotionPageTests.spec.ts","","","","Verify Signup button is present on promotion page",""
"passed","Tue May 21 15:30:49 GMT 2024","Tue May 21 15:30:50 GMT 2024","1086","chromium","ui/landingPageTests.spec.ts","","","","Validate the Sidebar text of landing page",""
"passed","Tue May 21 15:30:48 GMT 2024","Tue May 21 15:30:48 GMT 2024","439","chromium","ui/landingPageTests.spec.ts","","","","Validate the title of landing page",""
"passed","Tue May 21 15:31:06 GMT 2024","Tue May 21 15:31:07 GMT 2024","1024","chromium","ui/signinPageTests.spec.ts","","","","Validate error messages while login with Invalid password",""
"passed","Tue May 21 15:31:05 GMT 2024","Tue May 21 15:31:06 GMT 2024","998","chromium","ui/signinPageTests.spec.ts","","","","Validate error messages while login with Only password",""
"passed","Tue May 21 15:30:44 GMT 2024","Tue May 21 15:30:46 GMT 2024","2090","chromium","ui/homePageTests.spec.ts","","","","Validate user not able to submit article without title",""
"passed","Tue May 21 15:30:48 GMT 2024","Tue May 21 15:30:49 GMT 2024","551","chromium","ui/landingPageTests.spec.ts","","","","Validate the Header Text of landing page",""
